episode,falls,speed,average deviation
640,0,0.005351171,0.15818496
641,0,0.004280936,0.184363136
642,0,0.003444816,0.151188805
643,0,0.00458194,0.101492767
644,0,0.004080268,0.230155758
645,0,0.004214047,0.228866925
646,0,0.00361204,0.095092767
647,0,0.004280936,0.169474713
648,0,0.004247492,0.566908441
649,1,0.006306306,0.310198064
650,0,0.004648829,0.188181979
651,0,0.004147157,0.237710111
652,0,0.004381271,0.269420527
653,0,0.004046823,0.188937165
654,0,0.004013378,0.29125426
655,0,0.004715719,0.400346236
656,0,0.004615385,0.22314095
657,1,0.007310345,0.104269726
658,0,0.004481605,0.114521159
659,0,0.003745819,0.145001373
660,0,0.004381271,0.206648207
661,0,0.004347826,0.122116362
662,0,0.004381271,0.187871865
663,0,0.004247492,0.252078262
664,0,0.005083612,0.220571235
665,0,0.003846154,0.228522773
666,0,0.004782609,0.100381726
667,0,0.004314381,0.299775332
668,0,0.004682274,0.269500756
669,0,0.003946488,0.103931315
670,0,0.003879599,0.341988778
671,0,0.004381271,0.211523884
672,0,0.004280936,0.131587848
673,0,0.003712375,0.206453852
674,0,0.004347826,0.188374144
675,0,0.00458194,0.356945137
676,0,0.004381271,0.129848164
677,1,0.006548673,0.148408017
678,0,0.004448161,0.11052942
679,0,0.00367893,0.073948649
680,1,0.005412844,0.221532209
681,1,0.004945055,0.10802147
682,0,0.004682274,0.561251225
683,0,0.004113712,0.095241205
684,0,0.003979933,0.156946573
685,0,0.004046823,0.197555346
686,0,0.004381271,0.188410256
687,0,0.003745819,0.135656145
688,0,0.004180602,0.174550444
689,0,0.004147157,0.169606284
690,0,0.004481605,0.076846322
691,0,0.004548495,0.133411269
692,0,0.003846154,0.276470033
693,0,0.004849498,0.198827069
694,0,0.004046823,0.320857464
695,0,0.004949833,0.186557475
696,0,0.004448161,0.256420566
697,0,0.004147157,0.152740316
698,0,0.00458194,0.091049673
699,1,0.008641975,0.121142846
700,0,0.005016722,0.081829116
701,0,0.004280936,0.135015222
702,1,0.005964912,0.136385303
703,0,0.004280936,0.117640291
704,1,0.004685714,0.322856317
705,0,0.004448161,0.355629467
706,0,0.004147157,0.262502552
707,0,0.004247492,0.160764813
708,0,0.004381271,0.253472249
709,0,0.004214047,0.36412225
710,0,0.004849498,0.174392209
711,0,0.00458194,0.091971265
712,0,0.004214047,0.15557895
713,0,0.004280936,0.181279089
714,0,0.004347826,0.245671427
715,0,0.00458194,0.326925101
716,1,0.004314381,0.495965804
717,0,0.00451505,0.433903568
718,0,0.004448161,0.30298792
719,0,0.004147157,0.203591444
720,0,0.003979933,0.258318329
721,0,0.004013378,0.116342306
722,0,0.00451505,0.293055423
723,0,0.004314381,0.166361677
724,0,0.004347826,0.365782384
725,0,0.004715719,0.222869056
726,0,0.004916388,0.163767047
727,0,0.004782609,0.223959504
728,0,0.004414716,0.431314974
729,0,0.004147157,0.125026281
730,0,0.003812709,0.162497242
731,0,0.003946488,0.15329732
732,0,0.004314381,0.109736847
733,0,0.004180602,0.135911509
734,1,0.006756757,0.346296612
735,0,0.004448161,0.255386932
736,0,0.004648829,0.291931123
737,0,0.005150502,0.171066376
738,0,0.004448161,0.248991928
739,0,0.004314381,0.109782356
740,0,0.004648829,0.162350913
741,0,0.004648829,0.305970446
742,1,0.00526749,0.078595579
743,0,0.004715719,0.254128379
744,0,0.004381271,0.315381019
745,0,0.004414716,0.323296573
746,0,0.004214047,0.137726516
747,0,0.004314381,0.168679217
748,0,0.004113712,0.155905182
749,0,0.004615385,0.26888875
750,0,0.004046823,0.428496078
751,0,0.004314381,0.446951246
752,0,0.004882943,0.187306206
753,0,0.004247492,0.158971011
754,0,0.005183946,0.225280409
755,0,0.003712375,0.170378631
756,0,0.004448161,0.156466858
757,1,0.00776699,0.16008331
758,0,0.005117057,0.17656974
759,0,0.004147157,0.135630499
760,0,0.004682274,0.134622022
761,0,0.004280936,0.196068238
762,0,0.004314381,0.371409235
763,0,0.003879599,0.144385029
764,0,0.00361204,0.155122689
765,0,0.004280936,0.200530259
766,0,0.004046823,0.327318483
767,0,0.004648829,0.204606191
768,0,0.004548495,0.197553225
769,0,0.004882943,0.06991777
770,0,0.004414716,0.212802203
771,0,0.004682274,0.315269507
772,1,0.005756098,0.190647717
773,0,0.004347826,0.084258007
774,0,0.004414716,0.163315831
775,0,0.00458194,0.103740065
776,0,0.004113712,0.520140177
777,0,0.004983278,0.175953722
778,0,0.004414716,0.666028944
779,0,0.004080268,0.17452899
780,0,0.004715719,0.102683136
781,0,0.004481605,0.292432276
782,0,0.005250836,0.13531374
783,0,0.004448161,0.090485079
784,0,0.004280936,0.136549264
785,0,0.004548495,0.073454675
786,0,0.00451505,0.341374943
787,0,0.004615385,0.243238055
788,0,0.004247492,0.162172023
789,0,0.004548495,0.163804221
790,0,0.004247492,0.138799311
791,0,0.004080268,0.29273405
792,0,0.004983278,0.114966115
793,0,0.004715719,0.123532449
794,0,0.004347826,0.213033126
795,0,0.004314381,0.192285038
796,0,0.004481605,0.131989634
797,0,0.004949833,0.263671383
798,0,0.004548495,0.139583828
799,0,0.004615385,0.253780726
800,0,0.004749164,0.233998658
801,0,0.004615385,0.213150326
802,0,0.004715719,0.323883488
803,0,0.004180602,0.208204995
804,0,0.004214047,0.158769293
805,0,0.004949833,0.389008773
806,1,0.004909747,0.098425338
807,0,0.00451505,0.150778779
808,0,0.004615385,0.121800074
809,1,0.007015707,0.078534274
810,0,0.004849498,0.369095098
811,0,0.004916388,0.22489393
812,1,0.005509434,0.143714439
813,0,0.005117057,0.380213313
814,0,0.005050167,0.135010985
815,0,0.004882943,0.121310926
816,0,0.005050167,0.142407647
817,0,0.004648829,0.110143801
818,0,0.004715719,0.27075493
819,0,0.004715719,0.170912588
820,0,0.005317726,0.107331854
821,0,0.004916388,0.269204466
822,0,0.004882943,0.21133813
823,0,0.004481605,0.249108553
824,0,0.005317726,0.211409098
825,0,0.005183946,0.149086495
826,0,0.005016722,0.19175366
827,0,0.005250836,0.137789932
828,0,0.004849498,0.380506288
829,0,0.005351171,0.213339911
830,0,0.005518395,0.125085669
831,0,0.004548495,0.066131616
832,0,0.005183946,0.259383189
833,0,0.004749164,0.265940398
834,0,0.005217391,0.164243234
835,0,0.005183946,0.260099242
836,0,0.005317726,0.285513021
837,0,0.00548495,0.107762164
838,0,0.005785953,0.110514125
